playerID,allCount,posCount,neuCount,negCount,allTime,posTime,neuTime,negTime,focusTime3,focusEnvTime3,focusPeoTime3,focusUITime3,jumpCount3,EnvPeo3,EnvUI3,PeoEnv3,PeoUI3,UIEnv3,UIPeo3,focusTime4,focusEnvTime4,focusPeoTime4,focusUITime4,jumpCount4,EnvPeo4,EnvUI4,PeoEnv4,PeoUI4,UIEnv4,UIPeo4,focusTime5,focusEnvTime5,focusPeoTime5,focusUITime5,jumpCount5,EnvPeo5,EnvUI5,PeoEnv5,PeoUI5,UIEnv5,UIPeo5,time,process,stopTime,stopCount,stopMeanTime,mean,var,standardMean,meanRate,standardVar,varRate,level
C13,46,0.28261,0.21739,0.5,209.799,0.26697,0.22399,0.50905,6886,0.532965437,0.132733082,0.334301481,647,0.17774,0.29985,0.17311,0.02473,0.30448,0.02009,7814,0.431917072,0.013309445,0.554773483,514,0.02335,0.47665,0.02335,0,0.47665,0,5438,0.265538801,0.013424053,0.721037146,281,0.03559,0.46263,0.03915,0,0.45907,0.00356,22.15,1,2.3,2,1.15,10.6395964,212.0410029,21.23531494,0.50103,287.5346474,0.73745,5
C15,40,0.45,0.2,0.35,293.263,0.40292,0.24036,0.35672,7305,0.502395619,0.083915127,0.413689254,688,0.17878,0.28052,0.1686,0.04651,0.28924,0.03634,11003,0.311369626,0.005634827,0.682995547,751,0.01332,0.48735,0.01332,0,0.48602,0,4041,0.263548627,0.006928978,0.729522395,234,0.02991,0.47009,0.02564,0.00427,0.47009,0,20.2,0.545000255,11.7,5,2.34,4.808594711,70.17894949,6.262288908,0.76787,52.48521756,1.33712,3
C16,38,0.68421,0.10526,0.21053,206.355,0.66174,0.10316,0.2351,7640,0.494371728,0.072251309,0.433376963,594,0.18182,0.29798,0.1734,0.02525,0.30471,0.01684,8806,0.352146264,0.014535544,0.633318192,536,0.01306,0.48694,0.01119,0.00187,0.48694,0,2812,0.387980085,0.003200569,0.608819346,246,0.01626,0.47561,0.00813,0.0122,0.48374,0.00407,17.8,1,4.8,2,2.4,18.19121814,295.0148882,17.32550173,1.04997,165.2882008,1.78485,2
C17,44,0.52273,0.25,0.22727,236.729,0.48874,0.30317,0.20809,8542,0.459845469,0.149964879,0.390189651,918,0.21678,0.22658,0.21024,0.05991,0.23203,0.05447,9690,0.332714138,0.010629515,0.656656347,443,0.04289,0.45372,0.03837,0.00677,0.45598,0.00226,2937,0.324140279,0.026898195,0.648961525,145,0.08276,0.41379,0.06897,0.01379,0.42069,0,22.25,1,6.4,3,2.13333,7.062964038,72.59241693,11.15075473,0.63341,111.2068809,0.65277,2
C18,49,0.16327,0.2449,0.59184,279.112,0.12078,0.25588,0.62334,7081,0.553170456,0.155204067,0.291625477,744,0.23925,0.23522,0.23925,0.02554,0.23522,0.02554,8649,0.42374841,0.022199098,0.554052492,371,0.02156,0.47978,0.02156,0,0.47709,0,5230,0.368451243,0.016061185,0.615487572,302,0.03311,0.46358,0.0298,0.00662,0.46358,0.00331,19.4,0.970001876,4.05,3,1.35,6.238322051,34.86321967,11.01657045,0.56627,43.65201553,0.79866,3
C20,42,0.40476,0.2381,0.35714,239.5,0.38486,0.25894,0.3562,7628,0.533691662,0.083901416,0.382406922,699,0.16309,0.32332,0.15451,0.0186,0.33047,0.01001,10531,0.325800019,0.00503276,0.669167221,646,0.00619,0.49381,0.00619,0,0.49381,0,3248,0.330049261,0.022475369,0.647475369,184,0.04891,0.45109,0.04891,0,0.45109,0,19.65,0.765001118,7.25,4,1.8125,11.60497222,259.5093921,8.958978763,1.29535,129.1280939,2.00971,2
C21,41,0.36585,0.29268,0.34146,229.507,0.32683,0.3175,0.35567,7192,0.47246941,0.06701891,0.46051168,611,0.14403,0.33715,0.13748,0.02291,0.34206,0.01637,8942,0.272869604,0.007492731,0.719637665,351,0.03134,0.46154,0.02279,0.0114,0.47009,0.00285,3543,0.201806379,0.008749647,0.789443974,112,0.07143,0.42857,0.0625,0.00893,0.42857,0,25.9,0.950001836,10.45,5,2.09,7.690313178,108.3499108,6.210190909,1.23834,67.5669719,1.60359,3
C22,38,0.47368,0.26316,0.26316,214.564,0.44531,0.29864,0.25605,7296,0.544544956,0.076343202,0.379111842,518,0.17375,0.31274,0.16795,0.01737,0.3166,0.01158,8868,0.279882724,0.005751015,0.714366261,361,0.02216,0.47645,0.01662,0.00554,0.47922,0,3428,0.249416569,0.002625438,0.747957993,145,0.01379,0.48276,0.02069,0,0.47586,0.0069,18.35,1,4.65,1,4.65,15.47364618,168.3223019,8.228100586,1.88059,43.65138512,3.85606,3
C24,35,0.6,0.17143,0.22857,308.407,0.62036,0.18443,0.19522,6496,0.552339901,0.129772167,0.317887931,493,0.22921,0.24341,0.21704,0.03448,0.25355,0.02231,10987,0.406753436,0.009101666,0.584144899,330,0.03636,0.46364,0.03333,0.00303,0.46364,0,5629,0.419435068,0.002842423,0.577722508,193,0.02591,0.46632,0.02591,0.01036,0.46114,0.01036,12.65,0.680000782,0,0,0,10.07828083,111.4735409,8.588893725,1.17341,137.9510338,0.80807,4
C26,43,0.27907,0.23256,0.48837,226.315,0.28058,0.25937,0.46005,7574,0.451544758,0.132558754,0.415896488,640,0.20156,0.26562,0.19062,0.03906,0.275,0.02813,8809,0.400045408,0.007038256,0.592916336,565,0.01062,0.49027,0.01062,0,0.4885,0,3390,0.285840708,0.01179941,0.702359882,198,0.0303,0.4697,0.03535,0,0.4596,0.00505,22,0.57000035,11.9,3,3.96667,5.467635702,113.9954195,6.414225652,0.85242,101.0546114,1.12806,3
